signal_strength,movement_speed,encryption_match,unidentified_object,border_distance,location_risk,time_of_day,previous_incident,risk_level
52,148,1,1,291,1,1,1,Medium
66,70,0,0,381,3,2,1,Medium
33,17,1,1,129,3,1,0,Medium
75,97,0,1,185,1,2,0,Medium
77,96,0,1,114,2,2,0,Medium
68,111,0,1,400,1,2,1,Medium
33,102,0,1,71,3,2,1,Medium
49,70,1,1,396,2,1,0,Medium
28,27,1,1,213,1,1,0,Medium
60,29,1,0,386,2,1,0,Medium
67,69,1,0,67,3,2,1,Medium
70,145,1,0,376,1,1,1,Medium
87,106,0,0,384,3,1,0,Medium
50,42,0,1,415,2,0,1,Medium
63,92,0,0,109,2,0,1,Medium
94,132,0,1,96,1,1,1,Medium
25,23,1,0,82,1,2,0,Low
33,22,1,1,269,3,1,1,Medium
32,129,1,1,149,2,2,0,Medium
73,174,0,0,461,2,0,1,Medium
48,19,0,0,189,3,1,0,Medium
31,17,1,1,149,2,0,0,Medium
69,126,0,1,94,3,0,0,Medium
95,145,1,1,147,1,0,1,Medium
97,176,0,1,31,3,0,1,Medium
84,115,1,0,379,1,1,1,Medium
74,120,0,0,443,3,1,1,Medium
26,60,0,1,351,1,0,1,Medium
65,33,0,0,398,3,0,1,Medium
21,40,0,1,102,3,0,1,Medium
32,127,0,1,425,3,2,0,Medium
81,155,0,1,455,3,2,0,Medium
62,56,1,1,123,3,0,1,Medium
87,98,1,0,190,1,0,0,Medium
81,148,1,1,235,1,2,0,Medium
69,92,1,1,41,2,1,0,Medium
28,147,0,0,399,1,0,1,Low
20,121,0,1,297,2,1,1,Medium
82,14,0,0,24,2,1,1,Medium
45,36,0,1,122,1,2,0,Medium
52,102,0,0,221,2,1,0,Low
93,171,0,0,497,1,2,0,Medium
99,44,1,0,211,2,2,1,Medium
43,131,0,1,141,2,0,0,Medium
74,166,0,0,40,3,0,1,Medium
53,156,1,0,40,3,0,0,Medium
78,157,0,0,348,2,2,1,Medium
94,35,0,0,187,3,0,1,Medium
31,118,0,0,30,3,0,0,Medium
62,71,0,1,28,3,2,0,Medium
36,31,0,0,497,3,0,1,Medium
73,40,1,0,35,3,0,1,Medium
60,22,1,0,493,3,2,0,Medium
71,54,1,0,53,1,1,1,Medium
85,97,1,1,477,3,0,1,Medium
28,3,0,1,401,2,2,0,Medium
75,113,1,0,352,2,1,1,Medium
78,84,0,0,59,2,1,1,Medium
77,4,1,0,47,1,1,1,Medium
42,123,0,0,266,3,2,1,Medium
72,89,0,1,288,1,1,1,Medium
79,155,0,0,438,2,0,0,Medium
57,12,0,1,428,1,2,0,Medium
64,177,0,1,336,1,0,0,Medium
81,80,0,1,210,2,1,1,Medium
59,5,0,0,237,3,2,0,Medium
64,47,1,0,470,1,2,0,Medium
88,122,0,0,235,3,2,0,Medium
25,47,1,1,17,3,0,0,Medium
36,125,1,1,81,1,0,0,Medium
21,71,0,1,159,1,0,1,Medium
67,150,0,0,125,3,0,0,Medium
93,74,1,0,347,3,2,1,Medium
64,130,0,0,48,3,0,0,Medium
79,140,1,0,408,2,2,1,Medium
47,98,1,1,213,3,1,0,Medium
68,54,0,1,287,2,0,0,Medium
84,130,0,1,210,1,1,0,Medium
89,127,0,0,94,2,0,1,Medium
31,63,0,1,329,2,1,1,Medium
67,111,1,1,17,2,0,1,Medium
65,49,0,0,46,2,2,0,Medium
48,103,0,0,190,2,0,0,Low
44,114,0,1,79,3,0,0,Medium
62,21,1,1,325,2,0,0,Medium
73,127,0,1,188,2,0,1,Medium
37,149,1,1,455,3,1,0,Medium
82,96,1,0,396,3,1,1,Medium
63,157,1,0,295,2,0,0,Medium
38,151,1,0,432,2,2,0,Low
33,171,1,0,36,1,0,1,Low
61,73,0,1,271,2,1,1,Medium
59,156,1,0,302,1,0,0,Medium
59,85,1,1,70,2,0,1,Medium
58,33,0,1,122,1,0,1,Medium
46,79,1,1,254,1,0,0,Medium
69,163,0,1,161,2,0,0,Medium
48,172,0,0,13,1,0,0,Low
40,151,1,1,96,2,1,1,Medium
93,101,0,0,82,2,2,1,Medium
46,74,1,0,197,3,0,1,Medium
23,26,1,0,425,3,2,0,Medium
38,61,1,1,59,3,1,0,Medium
96,15,1,0,264,3,2,0,Medium
46,145,1,1,498,2,2,1,Medium
70,159,1,1,246,1,1,1,Medium
25,80,0,1,315,2,1,0,Medium
100,12,1,0,50,3,1,1,High
74,79,1,0,329,1,1,0,Medium
91,70,1,1,489,3,1,1,Medium
69,120,1,0,468,3,0,1,Medium
73,147,1,1,341,1,0,0,Medium
69,22,1,0,104,1,2,1,Medium
58,15,0,1,361,1,0,1,Medium
65,173,0,0,284,2,2,1,Medium
32,104,1,1,50,3,2,1,Medium
60,18,1,0,323,1,0,0,Medium
42,89,0,0,289,1,1,1,Low
95,111,1,0,211,3,0,1,Medium
63,45,0,1,153,3,2,1,Medium
44,43,0,0,416,1,2,1,Low
28,14,0,0,297,3,2,0,Medium
26,99,1,0,315,3,2,1,Medium
84,19,1,0,74,3,0,1,High
54,95,0,1,364,3,1,0,Medium
88,11,1,1,408,1,1,1,Medium
49,39,1,1,458,1,0,0,Medium
76,128,0,0,487,2,1,0,Medium
49,23,0,1,100,3,1,1,Medium
25,176,1,1,44,3,0,1,Medium
25,96,1,0,147,2,2,0,Low
59,52,1,0,198,1,1,1,Medium
80,83,0,1,454,3,1,0,Medium
76,17,0,1,176,3,1,0,Medium
27,101,1,0,299,2,1,0,Low
77,126,1,0,343,3,2,0,Medium
51,32,0,0,472,3,2,0,Medium
64,70,1,1,74,3,0,1,Medium
51,100,1,0,298,2,2,1,Low
34,100,1,1,460,1,1,1,Medium
25,86,1,1,330,1,2,1,Medium
64,80,0,0,398,2,1,0,Medium
42,90,1,0,351,2,2,0,Low
76,115,1,1,177,1,1,0,Medium
67,22,0,1,383,1,0,0,Medium
65,179,1,0,248,3,2,1,Medium
63,72,1,0,208,1,0,0,Medium
80,151,0,1,485,2,1,0,Medium
30,49,1,0,271,2,1,1,Low
87,109,1,1,29,3,1,1,High
91,162,1,1,488,3,1,0,Medium
27,163,0,0,49,1,0,1,Low
87,50,0,1,359,3,0,0,Medium
86,119,1,0,79,2,2,1,High
89,10,1,0,110,1,1,0,High
98,108,0,1,179,2,1,0,Medium
91,151,0,0,115,1,0,0,Medium
64,6,1,0,211,3,0,0,Medium
62,43,0,1,481,1,2,0,Medium
41,122,0,0,35,1,2,1,Low
29,91,0,1,91,2,0,0,Medium
66,173,0,1,447,3,0,1,Medium
100,63,1,0,210,1,2,0,Medium
28,19,0,1,185,3,1,1,Medium
76,93,1,0,299,3,2,1,Medium
68,164,1,1,50,1,0,1,Medium
24,48,0,0,81,3,2,0,Medium
58,85,0,0,101,1,1,1,Medium
35,124,0,0,274,3,0,0,Medium
28,118,1,0,380,2,1,0,Low
24,95,1,1,293,2,0,1,Medium
50,91,0,1,266,2,0,1,Medium
90,11,1,0,280,1,1,1,Medium
37,67,0,1,382,3,2,1,Medium
25,17,0,0,372,3,2,0,Medium
29,141,1,1,63,3,2,0,Medium
42,135,1,0,79,1,0,1,Low
95,72,1,1,368,1,1,1,Medium
22,21,1,1,428,1,0,0,Medium
95,73,1,1,197,3,2,0,Medium
27,147,1,0,158,1,1,0,Low
62,39,1,0,170,1,0,1,Medium
73,38,0,1,47,1,2,1,Medium
24,58,1,1,317,3,2,1,Medium
44,64,0,1,369,2,0,0,Medium
73,107,1,1,118,2,2,0,Medium
50,68,0,0,414,2,2,0,Low
47,77,0,0,240,1,1,0,Low
58,30,0,0,347,1,1,1,Medium
51,73,1,0,49,3,0,1,Medium
43,77,1,0,35,2,0,1,Low
73,61,1,0,144,1,0,1,Medium
86,72,1,1,177,1,1,0,Medium
98,85,0,0,405,2,2,0,Medium
73,7,0,0,337,2,1,0,Medium
78,165,0,1,104,3,1,0,Medium
68,137,0,1,147,1,1,0,Medium
65,99,1,1,437,1,2,1,Medium
28,149,0,1,280,1,2,1,Medium
63,95,0,0,492,3,2,0,Medium
40,72,1,0,184,1,1,1,Low
42,158,1,1,430,3,1,1,Medium
49,155,1,1,326,1,0,1,Medium
44,100,0,1,323,2,0,1,Medium
99,16,0,1,323,3,2,1,Medium
86,57,1,0,205,1,0,1,Medium
28,36,0,0,61,3,0,0,Medium
62,141,1,1,407,2,2,0,Medium
79,122,0,0,206,3,2,0,Medium
60,110,0,1,220,3,2,0,Medium
98,111,1,0,219,2,1,0,Medium
54,34,0,1,206,1,1,0,Medium
24,113,1,0,297,1,0,1,Low
76,112,1,0,466,1,0,1,Medium
73,119,0,0,73,1,2,1,Medium
51,56,0,1,37,3,0,1,Medium
62,163,0,1,298,2,1,0,Medium
64,57,0,0,321,1,2,1,Medium
100,23,1,1,255,1,0,0,Medium
87,85,1,1,14,2,2,1,High
60,125,0,1,147,1,2,1,Medium
87,108,0,1,123,3,0,1,Medium
70,162,1,0,461,2,0,1,Medium
42,7,0,1,433,2,1,1,Medium
47,22,1,1,433,3,2,1,Medium
80,135,0,0,494,3,1,0,Medium
26,2,1,0,430,3,0,1,Medium
52,98,1,0,217,1,1,0,Low
97,153,0,0,415,2,1,1,Medium
22,158,0,0,301,1,1,1,Low
52,160,1,1,111,1,2,0,Medium
80,168,1,0,215,2,2,0,Medium
86,178,1,1,143,2,0,0,Medium
93,40,1,1,306,2,1,1,Medium
61,172,1,0,358,2,0,0,Medium
61,37,1,0,101,1,1,0,Medium
67,73,0,0,14,3,0,0,Medium
56,6,0,1,157,1,1,1,Medium
39,168,1,0,164,1,0,0,Low
24,105,0,0,137,2,0,1,Low
96,137,1,1,205,3,2,0,Medium
63,164,0,0,340,2,2,0,Medium
24,94,0,1,218,2,1,0,Medium
66,109,0,0,408,2,1,0,Medium
99,32,1,0,160,2,2,1,Medium
55,12,0,1,94,2,0,0,Medium
51,74,0,0,487,2,2,1,Low
76,77,0,1,389,2,0,0,Medium
39,34,0,0,21,2,2,0,Low
52,41,0,0,79,1,0,0,Low
37,62,0,0,382,1,2,0,Low
51,54,0,0,162,3,0,0,Medium
91,22,1,1,152,3,0,0,Medium
50,90,1,0,290,2,2,1,Low
65,104,1,0,383,2,0,1,Medium
65,63,1,0,55,2,0,0,Medium
58,39,0,0,92,2,1,0,Medium
33,110,0,0,244,3,2,1,Medium
73,178,1,1,102,3,2,1,Medium
94,97,0,0,432,3,0,1,Medium
79,164,0,1,192,3,1,0,Medium
49,120,0,1,417,3,1,1,Medium
78,52,0,0,89,3,2,0,Medium
67,61,1,1,82,1,2,0,Medium
37,114,1,1,460,1,0,1,Medium
30,144,0,1,486,2,2,0,Medium
55,35,1,1,393,3,0,1,Medium
29,101,0,0,341,3,2,0,Medium
78,139,0,1,430,3,0,1,Medium
100,11,1,1,415,2,1,0,Medium
86,56,0,0,243,1,1,1,Medium
75,168,0,0,33,2,0,1,Medium
92,143,0,0,361,1,1,0,Medium
79,7,0,1,460,1,0,0,Medium
89,117,0,1,337,2,1,1,Medium
38,170,0,0,211,2,0,1,Low
55,141,0,1,276,2,1,0,Medium
33,109,1,1,171,3,1,1,Medium
44,168,0,1,87,2,2,1,Medium
76,103,1,0,70,2,1,0,Medium
79,1,1,0,267,3,0,0,Medium
85,39,1,1,488,2,2,1,Medium
22,104,0,1,479,2,1,1,Medium
34,162,1,1,23,2,2,0,Medium
78,135,0,0,472,2,2,0,Medium
67,123,1,1,383,2,2,1,Medium
48,22,0,1,169,3,2,0,Medium
66,91,0,0,273,3,1,1,Medium
58,45,1,1,19,3,0,1,Medium
69,54,1,1,93,1,1,0,Medium
64,29,1,1,384,2,1,0,Medium
50,126,0,0,462,1,0,0,Low
40,33,0,1,232,3,2,0,Medium
33,59,0,0,303,2,0,0,Low
77,94,1,0,107,1,1,1,Medium
42,173,0,0,498,2,2,1,Low
91,146,1,1,348,2,2,1,Medium
69,127,0,0,80,1,0,0,Medium
54,2,1,1,326,1,1,1,Medium
21,67,0,0,333,3,2,0,Medium
98,170,0,0,18,2,1,1,Medium
50,26,0,1,83,1,2,1,Medium
94,165,1,1,447,2,2,0,Medium
61,117,0,1,80,2,1,0,Medium
41,5,1,0,126,3,0,0,Medium
96,138,1,1,87,2,0,0,High
36,90,1,0,362,2,1,1,Low
73,66,1,1,106,1,0,1,Medium
46,151,0,1,239,1,1,0,Medium
84,108,0,0,29,1,0,0,Medium
88,172,1,0,11,3,2,0,High
84,140,1,0,103,2,2,0,High
86,153,0,0,177,1,2,1,Medium
88,65,0,0,368,2,2,1,Medium
77,114,0,0,334,1,0,1,Medium
35,142,0,1,159,2,1,0,Medium
20,27,0,1,294,1,1,1,Medium
68,75,1,0,234,2,1,0,Medium
59,86,0,0,343,3,2,0,Medium
55,18,0,0,446,1,0,1,Low
98,8,0,0,314,2,2,1,Medium
30,5,0,0,73,1,0,0,Low
60,91,1,1,424,2,0,1,Medium
66,18,0,0,423,1,1,0,Medium
95,47,1,1,32,3,2,1,High
53,17,0,0,135,1,2,1,Low
24,134,0,1,346,1,0,0,Medium
48,55,0,1,342,3,2,0,Medium
97,46,0,1,414,2,0,1,Medium
23,86,0,0,281,2,1,1,Low
72,50,0,0,212,2,0,0,Medium
74,34,0,0,187,1,1,0,Medium
65,105,1,1,36,3,2,1,Medium
97,127,1,0,61,2,2,0,High
49,55,1,1,121,2,2,1,Medium
23,121,0,0,34,2,1,1,Low
56,44,0,0,282,3,0,0,Medium
71,80,1,1,372,3,0,0,Medium
53,3,1,1,96,1,2,1,Medium
44,149,1,0,315,1,2,1,Low
55,133,0,0,119,1,1,0,Low
62,83,0,0,406,3,0,1,Medium
65,72,0,0,499,3,0,1,Medium
21,55,0,1,148,3,0,1,Medium
55,151,0,1,319,2,2,1,Medium
70,77,0,0,445,2,1,1,Medium
53,156,0,0,153,2,1,1,Low
42,47,1,0,28,1,1,1,Low
92,57,0,1,370,1,1,1,Medium
35,117,1,0,397,1,2,1,Low
21,180,1,0,388,2,0,0,Low
67,158,1,1,20,3,0,1,Medium
48,84,0,1,286,3,1,1,Medium
80,0,1,0,484,2,1,1,Medium
90,107,0,0,446,3,0,0,Medium
38,70,1,0,288,1,2,1,Low
61,165,1,1,355,1,0,1,Medium
94,80,0,1,10,3,1,0,Medium
98,43,1,1,237,3,1,0,Medium
22,39,1,0,22,1,0,1,Low
71,146,1,0,101,2,2,0,Medium
66,164,0,1,304,2,0,0,Medium
47,42,1,0,144,3,2,0,Medium
73,2,1,0,194,3,0,1,Medium
49,102,0,1,99,2,1,0,Medium
59,13,0,0,60,2,0,1,Medium
73,44,0,0,452,2,1,1,Medium
73,163,1,0,236,3,2,1,Medium
56,155,1,1,100,3,1,0,Medium
93,156,0,1,389,3,2,1,Medium
74,71,1,0,459,3,0,1,Medium
99,9,1,0,304,2,1,0,Medium
41,31,0,0,392,1,0,1,Low
66,59,1,1,437,2,2,0,Medium
60,155,0,1,341,3,1,1,Medium
87,68,1,0,72,1,1,1,High
81,59,1,0,298,1,1,0,Medium
83,119,1,1,362,1,1,1,Medium
49,93,1,0,500,2,1,0,Low
24,24,1,0,254,2,2,0,Low
54,50,1,1,314,2,1,1,Medium
27,35,0,1,94,1,1,0,Medium
38,129,1,0,50,2,1,1,Low
86,21,0,1,277,2,2,1,Medium
88,49,1,0,315,2,1,1,Medium
22,97,0,0,363,2,2,0,Low
42,104,0,0,407,2,1,1,Low
54,146,0,0,222,2,0,0,Low
93,139,0,1,190,2,1,1,Medium
70,163,0,0,38,2,2,1,Medium
33,156,0,1,403,2,1,1,Medium
53,141,0,0,256,2,0,0,Low
48,158,1,1,19,3,1,0,Medium
24,124,0,1,60,2,2,0,Medium
91,152,0,1,452,2,2,1,Medium
97,79,0,0,55,2,1,0,Medium
67,33,0,0,265,2,0,0,Medium
88,15,1,1,21,1,0,0,High
82,116,1,1,300,3,1,1,Medium
53,13,0,1,370,1,1,0,Medium
64,126,0,1,489,1,0,0,Medium
79,159,0,1,467,3,2,0,Medium
82,156,1,1,11,3,2,1,High
96,148,1,0,436,2,0,1,Medium
38,131,0,1,382,3,0,1,Medium
40,117,1,1,416,2,0,0,Medium
55,29,1,1,352,3,2,0,Medium
98,137,0,1,23,1,2,1,Medium
80,155,0,0,16,3,0,0,Medium
49,119,0,1,437,1,1,1,Medium
97,168,0,0,97,1,1,1,Medium
60,20,0,0,132,3,2,1,Medium
96,75,1,1,421,1,0,0,Medium
38,50,0,1,450,1,2,1,Medium
77,45,1,1,105,1,2,0,Medium
53,162,1,0,27,1,2,1,Low
95,17,0,1,158,1,1,0,Medium
40,118,0,0,487,3,0,1,Medium
44,100,1,1,58,1,0,0,Medium
25,155,1,0,31,3,0,1,Medium
55,1,0,1,400,2,0,0,Medium
57,74,0,1,148,1,0,1,Medium
66,36,1,0,78,3,2,0,Medium
46,171,1,0,253,2,2,1,Low
74,103,0,0,54,3,1,0,Medium
82,100,1,0,207,1,0,0,Medium
71,1,0,1,434,3,1,1,Medium
94,93,1,0,22,2,1,0,High
81,111,1,0,43,1,0,0,High
72,119,1,0,335,3,2,0,Medium
75,49,0,1,199,2,2,0,Medium
32,154,1,0,329,2,1,1,Low
70,29,0,0,68,3,0,0,Medium
82,8,1,1,67,1,1,1,High
28,79,1,0,37,1,0,0,Low
66,6,1,1,93,2,2,0,Medium
43,156,0,1,60,2,2,1,Medium
84,34,1,1,291,1,2,0,Medium
28,1,0,1,365,1,0,0,Medium
42,10,1,1,53,3,1,0,Medium
23,132,1,0,329,1,2,0,Low
51,163,0,0,307,1,2,1,Low
27,42,1,0,221,3,2,0,Medium
30,36,0,1,309,3,2,1,Medium
43,50,0,1,328,2,0,1,Medium
45,5,1,0,335,1,0,1,Low
85,149,1,0,214,2,1,1,Medium
52,82,0,1,469,3,2,0,Medium
81,151,1,0,311,2,1,0,Medium
78,135,0,1,327,3,0,0,Medium
36,27,0,1,117,2,1,0,Medium
49,136,1,0,308,2,1,1,Low
81,31,1,1,323,2,1,1,Medium
88,121,1,1,255,2,2,1,Medium
