signal_strength,movement_speed,encryption_match,unidentified_object,border_distance,location_risk,time_of_day,previous_incident,risk_level
20,119.84,0,1,40.64,2,0,1,Medium
93,160.97,0,0,378.17,1,1,0,Medium
79,270.72,0,0,437.36,1,2,0,Medium
62,175.62,1,0,242.52,1,1,0,Medium
57,23.45,1,1,42.48,3,1,1,Medium
92,198.23,1,1,3.1,1,2,1,Low
67,49.08,0,0,430.67,2,2,1,Low
40,290.7,1,0,452.12,2,1,0,Low
93,287.86,0,0,144.07,1,2,1,High
41,112.77,1,1,242.38,1,2,1,Low
63,236.55,0,0,205.36,1,1,1,High
77,292.06,0,0,37.22,1,2,1,Medium
35,10.44,1,0,456.39,3,2,0,Low
48,206.69,1,0,290.7,2,2,1,High
69,94.04,1,0,427.62,3,1,1,Medium
40,12.93,1,0,336.04,2,2,0,Medium
20,73.49,0,0,66.54,1,0,0,Medium
62,117.93,1,0,72.14,2,1,0,High
77,89.53,1,1,197.08,2,1,1,High
40,175.36,1,1,186.87,3,1,0,Low
